,train_loss,train_acc,val_loss,val_acc
0,144.40847803437703,0.8061166236237597,124.49474291235643,0.7162162162162162
1,142.1245199170158,0.8170585836618187,124.05567224732974,0.7006237006237006
2,141.72954806104747,0.814258529291831,123.93544209988,0.7047817047817048
3,141.6365884649263,0.8152779665624575,123.87718246172432,0.7016632016632016
4,141.62208326269217,0.8140410493407639,123.89679601532006,0.6985446985446986
5,141.60335121713882,0.8146798966970232,123.93075157272979,0.6891891891891891
6,141.60272078874408,0.8145711567214897,123.95315439763002,0.6954261954261954
7,141.59495175741276,0.8156721489737665,123.95467182409946,0.6933471933471933
8,141.61122141818595,0.8147614516786734,123.90300854569985,0.6975051975051975
9,141.59794937340143,0.8156313714829414,123.90756658258611,0.7016632016632016
10,141.6144352162382,0.8148022291694984,123.900734837066,0.6964656964656964
11,141.613340258006,0.8157401114584749,123.89617946996313,0.6943866943866944
12,141.60240064879298,0.8150604866113905,123.89748243791112,0.7027027027027027
13,141.59911338860474,0.8152915590593992,123.92078826119021,0.7047817047817048
14,141.6090291616203,0.8157808889493,123.93489579534598,0.6943866943866944
15,141.5959090957221,0.8157265189615333,123.89951176021893,0.6985446985446986
16,141.60229963369304,0.8137691994019302,123.90793752655549,0.6975051975051975
17,141.62040011511806,0.8146663042000816,123.9022783535769,0.6964656964656964
18,141.61005518961372,0.8150197091205654,123.88195344052865,0.7016632016632016
19,141.6036868853001,0.8152643740655159,123.88719654063654,0.6933471933471933
